code,name
350910,Caiua
351100,Castilho
351440,Dracena
351530,Estrela do Norte
351535,Euclides da Cunha Paulista
352870,Maraba Paulista
353020,Mirante do Paranapanema
353160,Monte Castelo
353220,Narandiba
353310,Nova Guataporanga
353480,Ouro Verde
353540,Panorama
353640,Pauliceia
353830,Piquerobi
354120,Presidente Bernardes
354130,Presidente Epitacio
354150,Presidente Venceslau
354323,Ribeirao dos Indios
354425,Rosana
354550,Sandovalina
354710,Santa Mercedes
354770,Santo Anastacio
354930,Sao Joao do Pau d'Alho
355390,Tarabai
355430,Teodoro Sampaio
355510,Tupi Paulista
350010,Adamantina
350020,Adolfo
350030,Aguai
350040,Aguas da Prata
350050,Aguas de Lindoia
350055,Aguas de Santa Barbara
350060,Aguas de Sao Pedro
350070,Agudos
350075,Alambari
350090,Altair
350100,Altinopolis
350110,Alto Alegre
350115,Aluminio
350120,Alvares Florence
350140,Alvaro de Carvalho
350150,Alvinlandia
350160,Americana
350170,Americo Brasiliense
350180,Americo de Campos
350190,Amparo
350200,Analandia
350220,Angatuba
350230,Anhembi
350250,Aparecida
350260,Aparecida d'Oeste
350270,Apiai
350275,Aracariguama
350280,Aracatuba
350290,Aracoiaba da Serra
350300,Aramina
350310,Arandu
350315,Arapei
350320,Araraquara
350330,Araras
350335,Arco-Iris
350340,Arealva
350350,Areias
350360,Areiopolis
350370,Ariranha
350380,Artur Nogueira
350390,Aruja
350395,Aspasia
350400,Assis
350410,Atibaia
350420,Auriflama
350430,Avai
350440,Avanhandava
350450,Avare
350460,Bady Bassitt
350470,Balbinos
350480,Balsamo
350490,Bananal
350500,Barao de Antonina
350510,Barbosa
350520,Bariri
350530,Barra Bonita
350535,Barra do Chapeu
350540,Barra do Turvo
350550,Barretos
350560,Barrinha
350570,Barueri
350580,Bastos
350590,Batatais
350600,Bauru
350610,Bebedouro
350620,Bento de Abreu
350630,Bernardino de Campos
350635,Bertioga
350640,Bilac
350650,Birigui
350660,Biritiba Mirim
350670,Boa Esperanca do Sul
350680,Bocaina
350690,Bofete
350700,Boituva
350710,Bom Jesus dos Perdoes
350715,Bom Sucesso de Itarare
350720,Bora
350730,Boraceia
350740,Borborema
350745,Borebi
350750,Botucatu
350760,Braganca Paulista
350770,Brauna
350775,Brejo Alegre
350780,Brodowski
350790,Brotas
350800,Buri
350810,Buritama
350820,Buritizal
350830,Cabralia Paulista
350840,Cabreuva
350850,Cacapava
350860,Cachoeira Paulista
350870,Caconde
350880,Cafelandia
350890,Caiabu
350900,Caieiras
350920,Cajamar
350925,Cajati
350930,Cajobi
350940,Cajuru
350945,Campina do Monte Alegre
350950,Campinas
350960,Campo Limpo Paulista
350970,Campos do Jordao
350980,Campos Novos Paulista
350990,Cananeia
350995,Canas
351000,Candido Mota
351010,Candido Rodrigues
351015,Canitar
351020,Capao Bonito
351030,Capela do Alto
351040,Capivari
351050,Caraguatatuba
351060,Carapicuiba
351070,Cardoso
351080,Casa Branca
351090,Cassia dos Coqueiros
351110,Catanduva
351120,Catigua
351130,Cedral
351140,Cerqueira Cesar
351150,Cerquilho
351160,Cesario Lange
351170,Charqueada
351190,Clementina
351200,Colina
351210,Colombia
351220,Conchal
351230,Conchas
351240,Cordeiropolis
351250,Coroados
351260,Coronel Macedo
351270,Corumbatai
351280,Cosmopolis
351290,Cosmorama
351300,Cotia
351310,Cravinhos
351320,Cristais Paulista
351330,Cruzalia
351340,Cruzeiro
351350,Cubatao
351360,Cunha
351370,Descalvado
351380,Diadema
351385,Dirce Reis
351390,Divinolandia
351400,Dobrada
351410,Dois Corregos
351420,Dolcinopolis
351430,Dourado
351450,Duartina
351460,Dumont
351470,Echapora
351480,Eldorado
351490,Elias Fausto
351492,Elisiario
351495,Embauba
351500,Embu das Artes
351510,Embu-Guacu
351515,Engenheiro Coelho
351518,Espirito Santo do Pinhal
351519,Espirito Santo do Turvo
351520,Estrela d'Oeste
351540,Fartura
351550,Fernandopolis
351560,Fernando Prestes
351565,Fernao
351570,Ferraz de Vasconcelos
351590,Floreal
351600,Florida Paulista
351610,Florinea
351620,Franca
351630,Francisco Morato
351640,Franco da Rocha
351650,Gabriel Monteiro
351660,Galia
